Channel Title,Channel Username,ID,Message,Date,Media Path
ምርጥ ዕቃ,@MerttEka,7444,,2025-01-16 07:20:49+00:00,MerttEka_photos/@MerttEka_7444.jpg
ምርጥ ዕቃ,@MerttEka,7443,,2025-01-16 07:20:49+00:00,MerttEka_photos/@MerttEka_7443.jpg
ምርጥ ዕቃ,@MerttEka,7442,"📣 Liquids/Juice Glass

✔️የጁስና ፈሳሽ መጠጦች መጠጫ
✔️ ተለቅ ያለ 420ml የሚይዝ

💵💵 12ቱን👉 4500💵💵
💵💵6ቱን 👉👉  2400 💵💵

🛵 ከ100 እስከ 200 ብር ብቻ ከፍለው አዲስ አበባ ውስጥ ካሉበት እንልካለን

👇🔤🔤🔤🔤🔤 🔤🔤🔤👇

➡️ 0944-22-23-24
➡️ 0904-94-48-48

💬የመረጡትን ዕቃ በፎቶ ለመላክ 👇

👉 @ordermertteka1     
 👉 @ordermertteka2

📌ሞባይል ባንኪንግ እንጠቀማለን
  
🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌


📎 ለወዳጆችው forward ያድርጉ ይሄንንም   👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ።",2025-01-16 07:20:49+00:00,MerttEka_photos/@MerttEka_7442.jpg
ምርጥ ዕቃ,@MerttEka,7441,,2025-01-15 05:13:17+00:00,MerttEka_photos/@MerttEka_7441.jpg
ምርጥ ዕቃ,@MerttEka,7440,,2025-01-15 05:13:17+00:00,MerttEka_photos/@MerttEka_7440.jpg
ምርጥ ዕቃ,@MerttEka,7439,"🔤🔤🔤 🔤🔤✅🔤🌹

📣 Water proof Bed Cover

✔️ ውሃ የማያስገባ የፍራሽ ልብስ

⚠️ 1.20ሜ ..1 የትራስ ልብስ አለው
⚠️ 1.50ሜ ..2 የትራስ ልብስ አለው

💵ለ1.20 ፍራሽ✔️ 3300 ብር💵
💵ለ1.50 ፍራሽ✔️ 3500 ብር💵

🛵 ከ100 እስከ 200 ብር ብቻ ከፍለው አዲስ አበባ ውስጥ ካሉበት እንልካለን

👇🔤🔤🔤🔤🔤 🔤🔤🔤👇

➡️ 0944-22-23-24
➡️ 0904-94-48-48

💬የመረጡትን ዕቃ በፎቶ ለመላክ 👇

👉 @ordermertteka1     
 👉 @ordermertteka2

📌ሞባይል ባንኪንግ እንጠቀማለን
  
🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌


📎 ለወዳጆችው forward ያድርጉ ይሄንንም   👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ።",2025-01-15 05:13:17+00:00,MerttEka_photos/@MerttEka_7439.jpg
ምርጥ ዕቃ,@MerttEka,7437,"📣 Ceramic Sausage/ Porridge Bowel

✔️ ከሴራሚክ የተሰሩ የወጥ እና የገንፎ ሳህኖች
🤫 በጣም ኳሊቲ የሆኑ ሳህኖቾ

💵💵18cm ስፋት  👉 700 ብር💵💵
💵💵20.5cm ስፋት👉 850ብር💵💵
💵💵23cm ስፋት 👉 1100ብር💵💵

👇🔤🔤🔤🔤🔤 🔤🔤🔤👇

➡️ 0944-22-23-24
➡️ 0904-94-48-48

💬የመረጡትን ዕቃ በፎቶ ለመላክ 👇

👉 @ordermertteka1     
 👉 @ordermertteka2

📌ሞባይል ባንኪንግ እንጠቀማለን
  
🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

🔔 ከ100 እስከ 200 ብር ብቻ ከፍለው አዲስ አበባ ውስጥ ካሉበት እንልካለን

📎 ለወዳጆችው forward ያድርጉ ይሄንንም   👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ።",2025-01-14 14:51:20+00:00,MerttEka_photos/@MerttEka_7437.jpg
ምርጥ ዕቃ,@MerttEka,7436,,2025-01-14 14:51:20+00:00,MerttEka_photos/@MerttEka_7436.jpg
ምርጥ ዕቃ,@MerttEka,7435,,2025-01-14 14:51:20+00:00,MerttEka_photos/@MerttEka_7435.jpg
ምርጥ ዕቃ,@MerttEka,7434,"📣 Three layer cloth drying stand
✔️ የልብስ ማስጪያ
✔️ቦታ የማይፈጅ 
✔️ የራሱ ጎማ ያለው
✔️ ለአገጣጠም ቀላል

💲💲 3700 ብር 💵💵

👇🔤🔤🔤🔤🔤 🔤🔤🔤👇

➡️ 0944-22-23-24
➡️ 0904-94-48-48

💬የመረጡትን ዕቃ በፎቶ ለመላክ 👇

👉 @ordermertteka1     
 👉 @ordermertteka2

📌ሞባይል ባንኪንግ እንጠቀማለን
  
🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

🔔 ከ100 እስከ 200 ብር ብቻ ከፍለው አዲስ አበባ ውስጥ ካሉበት እንልካለን

📎 ለወዳጆችው forward ያድርጉ ይሄንንም   👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ።",2025-01-14 08:29:45+00:00,MerttEka_photos/@MerttEka_7434.jpg
